ai_id,industryID,currentAppID,oxidesOfNitrogen,oxidesOfSulphur,DustSoot,otherEmission,NoOfStacks,StackHeight,causeOdourProblem,causeOdourProblemSource,causeOdourProblemMethod
1,1,1,FALSE,FALSE,TRUE,,No,,0,,
2,2,2,FALSE,FALSE,FALSE,,,,0,,
3,3,3,,,TRUE,,1,,0,,
4,4,4,,,,,,,NULL,,
5,5,5,,,,Zink Oxide,2,60 ft,NULL,,
6,6,23780,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,8,8,FALSE,FALSE,TRUE,Amonium Smoke,2,79 Ft /40Ft,0,,
9,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,10,22752,,,TRUE,,1,40Ft,0,,
11,11,11,,,TRUE,,,,NULL,,
12,12,24197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,13,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,14,14,FALSE,FALSE,FALSE,,,,0,,
15,15,23937,,,,,,,0,,
16,16,23037,,,,,,,0,,
17,17,17,,,,,,,NULL,,
18,18,23036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,19,23314,,,,,,,0,,
20,20,23401,FALSE,FALSE,FALSE,,1,30,0,,
21,21,21,,,,,1,40Ft,0,,
22,22,23770,,,,,,,NULL,,
23,23,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,24,24,,,,,,,0,,
25,25,23934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,26,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,27,24198,,,,,,,0,,
28,28,24250,,,,,,,0,,
29,29,23988,,,,,,,0,,
30,30,23893,,,,,,,0,,
31,31,32,,,,,,,0,,
32,32,33,,,,,,,0,,
33,33,24211,,,,?? ?????,,,0,,
34,34,24192,,,,,,,0,,
35,35,36,,,,,1,20Ft,0,,
36,36,37,,,,?????? ???? ???? ?? ?????,,,0,,
37,37,24191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,38,23504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,40,23767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,41,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,42,24091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,43,24287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,44,24195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,45,24177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,46,23270,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,48,23892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,49,23262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,50,23269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,51,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,52,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,53,23506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
