industryID,chemicalID,chemicalname,trdename,quantity,purpose
1,1,"NC Thinner","CIC/Anura Chemicals",NULL,"Mix with paints/Sanding sealer"
5,2,"Sulpuric Acid",,25,
5,3,"Hidrocloric Acid",,30,
6,4,,,NULL,
8,5,Zink,,375,"For Galvanize"
8,6,"Sulfuric Acid",,8,
8,7,"Amonium Cloride",,60,"For Galvanize"
9,8,"Additives for Emulson",,900,Additive
9,9,"Aditive for Enamal",,100,Aditives
9,10,Binders,,2400,Binder
9,11,Extender,,5998,Extender
9,12,Pigments,,1900,Pigments
9,13,Resins,,1100,Resins
9,14,Solvants,,2001,"As solvant"
12,15,Thickener,Bermocoll,45,
12,16,Anti-foam,"Foam Master",55,
12,17,"Dispensing Agent",Nopcosperse,55,
12,18,"Color Paste",Clarient,90,
12,19,Pigment,Clarient/Ciba/Cathay,330,
12,20,"Alkyd Resin",Revertex/Dailypolimer,1650,
12,21,Methyl/Sobuty/Ketone,Sasol,330,
12,22,Xylene,,880,
12,23,LAWS,safra,880,
12,24,"Butyl Acetate",DOW,1220,
12,25,"latex-Pidicry l126m",Pidilite,1760,
12,26,"Calcium Carbonate",LACKARB,4400,
12,27,Nitrocellulose,,1320,
14,28,,"Dish Wash Emarald",1.2,"For Dish Wash Cleaning"
14,29,,"Power Bleach",0.2,"Tile Cleaning"
14,30,,"all Purpose",0.2,"Pot wash"
14,31,,Eraser,0.1,"pot Wash"
15,32,"EnzymeEnzyme E 30",,10,"For get the appearence"
15,33,Antistain,Ecocolour,15,"For remove the Back Stain"
15,34,Ditergen,Ditergen,5,"For remove the Starch"
15,35,Softner,Ecosoft,10,"For get the Smoothly"
17,36,"High Presure",Britole,NULL,
17,37,"Car Wash",STR,NULL,
19,38,"Deegreasing Chemical",,7000,"Remove Rust"
19,39,"Sulpuric Acid",,400,"Remove Rust"
19,40,"Phospating Chemical",,300,"Remove Rust"
19,41,"Costic Soda",,100,Neutralizing
19,42,"LP Gas",,750,"Oven and Weldind"
19,43,"Fernace Oil",,3000,Boiler
19,44,"Cerosone Oil",,200,"Removing Chemical"
19,45,Oxygen,,NULL,
19,46,"Co 2 Gas",,NULL,Welding
20,47,"Nickle Sulphate",,2,
20,48,"Nickle Chloride",,0.25,
20,49,"Boric Acid",,1,
20,50,"Chromic Acid",,1,
20,51,"Sulfuric Acid",,4,
20,52,"Hydrochloric Acid",,2,
20,53,"Sodium Bisulfite",,3,
20,54,"Sodium Hydroxide",,4,
20,55,"Zink Chloride",,0.25,
21,56,TDI,,NULL,
21,57,Pollioil,,NULL,
21,58,"Methalin Cloride",,NULL,
21,59,S.O,,NULL,
21,60,Ameen,,NULL,
21,61,Siliicon,,NULL,
21,62,Aciton,,NULL,
21,63,Toliyouth,,NULL,
21,64,S.B.P,,NULL,
21,65,,,NULL,
21,66,"Magneecium Oxide",,NULL,
21,67,"Zinc Oxide",,NULL,
22,68,Clorine,Indian,2,Pool
23,69,"Organic Dyes",,5,
23,70,"Soda Ash",,20,
23,71,H2O2,,30,
23,72,"Costic Soda",,12,
23,73,"Glober Salt",,60,
24,74,"Stearic Acid",,2,
24,75,Ttanium,,50,
25,76,"Soda Ash",,3,"for water treatment"
27,77,Acetone,,6,"For Manufacturing Fiberglass Items"
27,78,Catelyst,,3,"For Manufacturing Fiberglass Items"
27,79,Gelcoat,,25,"For Manufacturing Fiberglass Items"
27,80,Resin,,200,"For Manufacturing Fiberglass Items"
27,81,Accelarator,,2,"For Manufacturing Fiberglass Items"
27,82,"Talk Powder",,15,"For Manufacturing Fiberglass Items"
35,83,"Alkid Resin","Sin  F5060",100,
35,84,Toliyun,,20,
35,85,"Petroliam Resin",,30,
35,86,"Buthail glycol",,6,
35,87,Cylin,,3,
35,88,"Isopropal Alkohol",,2.5,
35,89,Methanol,,NULL,
35,90,"Ethali Asitate",,NULL,
35,91,toliun,,NULL,
37,92,Sulper,,0.25,
37,93,"Calcium Carbonate",,10,
37,94,"Zinc Oxide",,0.25,
526,95,"Zink Oxide",,10,
526,96,Sulper,,10,
526,97,"Calcium Carbonate",,100,
526,98,"Silicon Dioxide",,50,
870,99,Dinamite,,1.5,
870,100,detonater,,3,
882,101,Amoniam,,0.5,"For metal blasting"
882,102,"Water Gel",,0.5,
886,103,"High Presure",,5,
886,104,"Car Wash",,2,
898,105,"High Presure",,2,
