industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
2,1,2015-04-24,0,NULL,2,NULL,NULL
4,1,2015-07-24,0,NULL,4,NULL,NULL
6,1,2016-05-28,0,NULL,23780,NULL,6
7,1,2015-03-16,0,NULL,7,NULL,NULL
8,1,2011-12-26,0,NULL,8,NULL,NULL
9,1,2015-07-15,0,NULL,9,NULL,6
10,1,2014-08-20,0,NULL,22752,NULL,6
11,1,2014-08-09,0,NULL,11,NULL,NULL
12,1,2016-07-14,0,NULL,24197,NULL,6
13,1,2014-12-05,0,NULL,13,NULL,NULL
14,1,2015-08-08,0,NULL,14,NULL,6
15,1,2016-06-03,0,NULL,23937,NULL,6
16,1,2015-07-24,0,NULL,23037,NULL,6
17,1,2015-05-15,0,NULL,17,NULL,NULL
18,1,2015-08-01,0,NULL,23036,NULL,6
19,1,2016-02-08,1,NULL,23314,2016-06-05,6
20,1,2016-01-27,0,NULL,23401,NULL,6
21,1,2015-09-10,0,NULL,21,NULL,6
22,1,2016-05-28,0,NULL,23770,NULL,6
23,1,2014-12-10,0,NULL,23,NULL,NULL
24,1,2015-09-03,0,NULL,24,NULL,6
25,1,2015-01-07,0,NULL,23934,NULL,6
26,1,2015-09-02,0,NULL,26,NULL,6
27,1,2015-01-03,0,NULL,28,NULL,NULL
28,1,2016-08-16,0,NULL,24250,NULL,6
29,1,2016-06-10,0,NULL,23988,NULL,6
30,1,2016-06-08,0,NULL,23893,NULL,6
31,1,2015-03-14,0,NULL,32,NULL,NULL
32,1,2015-01-31,0,NULL,33,NULL,NULL
33,1,2016-08-14,0,NULL,24211,NULL,6
34,1,2015-12-07,0,NULL,24192,NULL,6
35,1,2015-07-18,0,NULL,36,NULL,6
36,1,2014-05-13,0,NULL,37,NULL,NULL
37,1,2016-08-05,0,NULL,24191,NULL,6
38,1,2016-02-22,1,NULL,23504,2016-06-05,6
40,1,2016-01-16,0,NULL,23767,NULL,6
41,1,2014-10-11,0,NULL,41,NULL,NULL
42,1,2016-06-26,0,NULL,24091,NULL,6
43,1,2016-08-20,0,NULL,24287,NULL,6
44,1,2016-10-13,0,NULL,24195,NULL,6
45,1,2016-08-05,0,NULL,24177,NULL,6
46,1,2015-12-18,0,NULL,23270,NULL,6
47,1,2014-12-18,0,NULL,47,NULL,NULL
48,1,2016-06-11,0,NULL,23892,NULL,6
49,1,2016-02-18,1,NULL,23262,2016-06-05,6
50,1,2016-02-20,1,NULL,23269,2016-06-05,6
51,1,2015-01-16,0,NULL,51,NULL,NULL
52,1,2015-09-01,0,NULL,52,NULL,6
53,1,2016-04-04,0,NULL,23506,NULL,6
54,1,2015-12-19,0,NULL,24138,NULL,6
55,1,2016-01-20,0,NULL,23243,NULL,6
56,1,2016-03-22,0,NULL,23649,NULL,6
58,1,2016-01-18,0,NULL,23028,NULL,6
59,1,2016-04-09,0,NULL,23775,NULL,6
60,1,2014-12-26,0,NULL,460,NULL,NULL
61,1,2015-01-21,0,NULL,59,NULL,NULL
62,1,2016-08-09,0,NULL,24184,NULL,6
63,1,2016-01-19,0,NULL,23027,NULL,6
64,1,2016-06-16,0,NULL,24095,NULL,6
66,1,2015-09-05,0,NULL,64,NULL,6
67,1,2015-02-25,0,NULL,70,NULL,NULL
68,1,2016-02-24,1,NULL,23663,2016-06-05,6
69,1,2014-08-22,0,NULL,67,NULL,NULL
70,1,2014-04-08,0,NULL,68,NULL,NULL
71,1,2015-01-29,0,NULL,72,NULL,NULL
72,1,2014-04-29,0,NULL,73,NULL,NULL
73,1,2015-12-19,0,NULL,23261,NULL,6
74,1,2015-03-24,0,NULL,74,NULL,NULL
75,1,2016-04-09,0,NULL,23824,NULL,6
76,1,2015-10-30,0,NULL,22695,NULL,6
77,1,2016-10-20,0,NULL,24247,NULL,6
78,1,2014-08-28,0,NULL,78,NULL,NULL
79,1,2014-07-24,0,NULL,79,NULL,NULL
80,1,2014-09-04,0,NULL,80,NULL,NULL
81,1,2015-03-02,0,NULL,23223,NULL,6
82,1,2015-01-18,0,NULL,82,NULL,NULL
83,1,2016-03-16,0,NULL,23260,NULL,6
84,1,2012-07-08,0,NULL,84,NULL,NULL
85,1,2016-03-11,0,NULL,23194,NULL,6
86,1,2016-11-09,0,NULL,24286,NULL,6
87,1,2016-02-06,1,NULL,23144,2016-06-05,6
88,1,2014-08-01,0,NULL,88,NULL,NULL
89,1,2016-08-22,0,NULL,24186,NULL,6
90,1,2015-12-09,0,NULL,23024,NULL,6
91,1,2015-12-16,0,NULL,23152,NULL,6
92,1,2014-10-03,0,NULL,92,NULL,NULL
93,1,2016-02-18,1,NULL,24140,2016-06-05,6
94,1,2016-10-19,0,NULL,24264,NULL,6
95,1,2016-02-20,1,NULL,23147,2016-06-05,6
96,1,2016-10-12,0,NULL,24269,NULL,6
97,1,2016-02-02,1,NULL,23430,2016-06-05,6
98,1,2016-02-06,1,NULL,23162,2016-06-05,6
99,1,2015-10-05,0,NULL,100,NULL,6
100,1,2013-10-23,0,NULL,101,NULL,NULL
101,1,2014-12-27,0,NULL,102,NULL,NULL
102,1,2016-03-06,0,NULL,23501,NULL,6
103,1,2014-11-27,0,NULL,104,NULL,NULL
104,1,2016-09-15,0,NULL,24263,NULL,6
105,1,2015-08-17,0,NULL,23023,NULL,6
106,1,2014-11-13,0,NULL,108,NULL,NULL
107,1,2014-05-27,0,NULL,107,NULL,NULL
108,1,2016-05-24,0,NULL,23786,NULL,6
109,1,2016-10-23,0,NULL,24249,NULL,6
110,1,2016-05-13,0,NULL,23656,NULL,6
111,1,2016-06-05,0,NULL,23785,NULL,6
112,1,2015-12-18,0,NULL,23021,NULL,6
113,1,2015-12-18,0,NULL,22990,NULL,6
114,1,2013-10-23,0,NULL,114,NULL,NULL
115,1,2016-07-17,0,NULL,24059,NULL,6
116,1,2016-11-04,0,NULL,24300,NULL,6
117,1,2015-01-24,0,NULL,118,NULL,NULL
118,1,2016-10-28,0,NULL,24315,NULL,6
119,1,2016-05-05,0,NULL,24060,NULL,6
120,1,2015-03-25,0,NULL,121,NULL,NULL
121,1,2015-04-21,0,NULL,122,NULL,NULL
122,1,2016-10-22,0,NULL,24274,NULL,6
123,1,2014-09-04,0,NULL,124,NULL,NULL
124,1,2016-04-03,0,NULL,23505,NULL,6
125,1,2015-02-17,0,NULL,127,NULL,NULL
126,1,2015-09-27,0,NULL,23018,NULL,6
127,1,2015-11-03,0,NULL,23034,NULL,6
128,1,2015-11-06,0,NULL,22584,NULL,6
129,1,2016-02-06,1,NULL,23160,2016-06-05,6
130,1,2014-03-27,0,NULL,134,NULL,NULL
131,1,2015-09-10,0,NULL,22814,NULL,6
132,1,2016-09-19,0,NULL,24297,NULL,6
133,1,2015-04-21,0,NULL,133,NULL,NULL
134,1,2016-02-03,1,NULL,23146,2016-06-05,6
135,1,2016-07-13,0,NULL,24153,NULL,6
136,1,2015-03-27,0,NULL,138,NULL,NULL
137,1,2015-09-09,0,NULL,22737,NULL,6
138,1,2014-12-23,0,NULL,139,NULL,NULL
139,1,2015-02-01,0,NULL,140,NULL,NULL
140,1,2016-06-22,0,NULL,23989,NULL,6
141,1,2015-01-01,0,NULL,143,NULL,NULL
142,1,2016-08-12,0,NULL,24185,NULL,6
143,1,2016-04-07,0,NULL,23773,NULL,6
144,1,2014-04-25,0,NULL,145,NULL,NULL
145,1,2015-01-17,0,NULL,146,NULL,NULL
146,1,2015-04-20,0,NULL,147,NULL,NULL
147,1,2014-12-08,0,NULL,148,NULL,NULL
148,1,2014-09-29,0,NULL,149,NULL,NULL
149,1,2016-01-02,0,NULL,24065,NULL,6
150,1,2015-12-15,0,NULL,23213,NULL,6
151,1,2015-03-24,0,NULL,152,NULL,NULL
152,1,2015-02-21,0,NULL,154,NULL,NULL
153,1,2016-02-23,1,NULL,23437,2016-06-05,6
154,1,2015-12-16,0,NULL,22738,NULL,6
155,1,2015-01-29,0,NULL,156,NULL,NULL
156,1,2016-11-13,0,NULL,24285,NULL,6
157,1,2015-10-06,0,NULL,22773,NULL,6
