categoryID,listNo,discription,idno,abc
A01,CH,"Chemicals manufacturing or formulating or repacking industries",1,A
A10,CH,"Oil (mineral oil or petroleum) refineries",2,A
A11,CH,"Dye and dye intermediate manufacturing or formulating industries",3,A
A12,CH,"Paints (emulsion or enamel), inks, pigments, varnish, polish manufacturing or formulating industries",4,A
A13,CH,"Petrochemical (basic or intermediates) manufacturing or formulating industries",5,A
A14,CH,"Industrial gas manufacturing, processing or refilling industries",6,A
A15,CH,"Asphalt processing plants",7,A
A16,CH,"Industries involved in the manufacture of polymers or polymer based products or polymer or polymer based products, recycling industries",8,A
A17,CH,"All types of tyres, tubes manufacturing or tyre retreading industries",9,A
A18,CH,"Industries involved in manufacturing or reconditioning of batteries",10,A
A19,CH,"Any industry involved in the use of asbestos fibres as a raw material",11,A
A02,CH,"Soaps, detergents, softener or any other cleansing preparations manufacturing industries having a production capacity of 1,000 kilograms per day or more",12,A
A20,CH,"Industries involved in manufacturing, extracting or formulating pharmaceuticals or cosmetic products including intermediates",13,A
A21,CH,"Adhesives manufacturing industries excluding natural gums",14,A
A22,CH,"Match sticks manufacturing industries and explosives manufacturing or formulating industries",15,A
A23,TL,"Batik industries where 10 or more workers are employed",16,A
A24,TL,"Textile processing (i.e. bleaching, dyeing, printing) industries or garment washing industries or textile sand blasting industries or commercial laundries where 10 or more workers are employed",17,A
A25,TL,Tanneries,18,A
A26,TL,"Lather finishing industries having effluent generating operations",19,A
A27,TL,"Jute processing industries",20,A
A28,TL,"Industries involved in bleaching or dyeing of natural fibre or natural fibre based industries where 25 or more workers are employed",21,A
A29,TL,"Power looms having 25 or more machines or power looms with sizing activities",22,A
A03,CH,"Bulk petroleum liquid or liquefied petroleum gas storage or filling facilities having a total capacity of 150 or more metric tons excluding vehicle fuel filling stations",23,A
A30,FD,"Sugar manufacturing industries or sugar refineries",24,A
A31,FD,"Fermentation industries (Distilleries, Breweries) or alcoholic beverages bottling plants or bottling plants having bottle washing operations",25,A
A32,FD,"Food manufacturing and processing industries including bakery products and confectioneries where 25 or more workers are employed",26,A
A33,FD,Abattoirs,27,A
A34,FD,"Coconut oil or cinnamon oil extraction industries where 25 or more workers are employed",28,A
