industryID,feeID,dateofpayments,reciptNo,paidamount,applicationID,fno,feestatus,calDate,calAmount,TranNo
2,2,2014-07-17,109158,9333,2,1,Paid,2014-09-10,9333,NULL
2,1,2014-08-12,109273,11424,2,2,Paid,2014-09-10,11424,NULL
2,1,2014-06-26,108996,11424,2,3,Paid,2014-09-10,11424,NULL
2,2,2014-07-17,109158,9333,2,4,Paid,2014-09-10,9333,NULL
2,2,2014-07-17,109158,9333,2,5,Paid,2014-09-10,9333,NULL
3,1,2014-08-12,109273,11424,3,6,Paid,2014-09-10,11424,NULL
4,2,2014-10-23,65113,9333,4,7,Paid,2014-09-11,9333,NULL
4,1,2014-08-13,109277,11424,4,8,Paid,2014-09-11,11424,NULL
5,2,NULL,,0,5,9,Pending,2014-09-11,9333,NULL
6,2,2014-08-08,109256,9333,6,10,Paid,2014-09-11,9333,NULL
7,1,NULL,,0,7,11,Pending,2014-09-15,NULL,NULL
7,2,2014-07-24,109191,9333,7,12,Paid,2014-09-15,9333,NULL
8,2,NULL,,0,8,13,Pending,2014-09-16,9333,NULL
8,2,2012-04-25,62089,9333,8,14,Paid,2014-09-16,9333,NULL
9,2,2014-11-17,113083,9333,9,15,Paid,2014-09-16,9333,NULL
9,2,2013-10-24,84929,9333,9,16,Paid,2014-09-16,9333,NULL
10,2,NULL,,0,10,17,Pending,2014-09-16,9333,NULL
10,2,2014-03-10,92706,9333,10,18,Paid,2014-09-16,9333,NULL
11,2,NULL,,0,11,19,Pending,2014-09-16,NULL,NULL
11,2,2014-10-23,65119,9333,11,20,Paid,2014-09-16,9333,NULL
12,2,NULL,,0,12,21,Pending,2014-09-18,9333,NULL
12,2,2013-10-31,84957,9333,12,22,Paid,2014-09-18,9333,NULL
13,1,NULL,,0,13,23,Pending,2014-09-18,11424,NULL
13,1,2014-01-24,90243,11424,13,24,Paid,2014-09-18,11424,NULL
13,2,NULL,,0,13,25,Pending,2014-09-18,9333,NULL
13,2,2014-03-05,92662,9333,13,26,Paid,2014-09-18,9333,NULL
14,2,NULL,,0,14,27,Pending,2014-09-18,9333,NULL
14,2,2013-11-22,89849,9333,14,28,Paid,2014-09-18,9333,NULL
15,2,NULL,,0,15,29,Pending,2014-09-19,9333,NULL
15,2,2013-10-30,84953,9333,15,30,Paid,2014-09-19,9333,NULL
16,2,NULL,,0,16,31,Pending,2014-09-19,9333,NULL
16,2,2013-12-06,89932,9333,16,32,Paid,2014-09-19,9333,NULL
17,1,NULL,,0,17,33,Pending,2014-09-19,3427.2,NULL
17,1,2014-07-21,109174,3427.2,17,34,Paid,2014-09-19,3427.2,NULL
17,2,NULL,,0,17,35,Pending,2014-09-19,9333,NULL
17,2,2014-08-01,109231,9333,17,36,Paid,2014-09-19,9333,NULL
18,2,NULL,,0,18,37,Pending,2014-09-19,9333,NULL
18,2,2013-10-23,84921,9333,18,38,Paid,2014-09-19,9333,NULL
19,2,NULL,,0,19,39,Pending,2014-09-19,9333,NULL
19,2,2014-05-29,93073,9333,19,40,Paid,2014-09-19,9333,NULL
20,2,NULL,,0,20,41,Pending,2014-09-23,9333,NULL
20,2,2014-05-29,93073,9333,20,42,Paid,2014-09-23,9333,NULL
21,2,NULL,,0,21,43,Pending,2014-09-24,9333,NULL
21,2,2013-11-15,89814,9333,21,44,Paid,2014-09-24,9333,NULL
22,1,NULL,,0,22,45,Pending,2014-09-24,NULL,NULL
22,1,2014-03-07,92699,11424,22,46,Paid,2014-09-24,11424,NULL
22,2,2014-05-06,92977,9333,22,47,Paid,2014-09-25,9333,NULL
22,2,NULL,,0,22,48,Pending,2014-09-25,NULL,NULL
23,2,NULL,,0,23,49,Pending,2014-09-30,NULL,NULL
23,2,2014-03-27,92814,9333,23,50,Paid,2014-09-30,9333,NULL
24,1,NULL,,0,24,51,Pending,2014-09-30,NULL,NULL
24,2,NULL,,0,24,52,Pending,2014-09-30,NULL,NULL
24,1,2013-11-13,89804,11424,24,53,Paid,2014-09-30,11424,NULL
24,2,2013-11-28,89892,9333,24,54,Paid,2014-09-30,9333,NULL
25,2,NULL,,0,25,55,Pending,2014-09-30,NULL,NULL
25,2,2014-03-07,92700,9333,25,56,Paid,2014-09-30,9333,NULL
27,2,NULL,,0,28,57,Pending,2014-09-30,NULL,NULL
27,2,2014-04-21,92930,9333,28,58,Paid,2014-09-30,9333,NULL
28,2,NULL,,0,29,59,Pending,2014-09-30,NULL,NULL
28,2,2013-11-21,89839,9333,29,60,Paid,2014-09-30,9333,NULL
26,2,NULL,,0,27,61,Pending,2014-10-01,9333,NULL
26,2,2014-02-21,92610,9333,27,62,Paid,2014-10-01,9333,NULL
29,2,NULL,,0,30,63,Pending,2014-10-01,NULL,NULL
29,2,2014-07-03,109022,9333,30,64,Paid,2014-10-01,9333,NULL
31,1,NULL,,0,32,65,Pending,2014-10-01,NULL,NULL
31,2,2014-05-21,93038,9333,32,66,Paid,2014-10-01,9333,NULL
31,1,2012-05-31,10284,11424,32,67,Paid,2014-10-01,11424,NULL
32,2,NULL,,0,33,68,Pending,2014-10-01,NULL,NULL
32,2,2014-06-23,108974,9333,33,69,Paid,2014-10-01,9333,NULL
33,2,NULL,,0,34,70,Pending,2014-10-01,NULL,NULL
33,2,2013-12-04,89926,9333,34,71,Paid,2014-10-01,9333,NULL
34,1,NULL,,0,35,72,Pending,2014-10-01,NULL,NULL
34,1,2012-07-20,66404,11424,35,73,Paid,2014-10-01,11424,NULL
34,2,NULL,,0,35,74,Pending,2014-10-01,NULL,NULL
34,2,2014-02-28,92638,9333,35,75,Paid,2014-10-01,9333,NULL
35,2,NULL,,0,36,76,Pending,2014-10-01,NULL,NULL
35,2,2014-11-11,113043,9333,36,77,Paid,2014-10-01,9333,NULL
36,1,2014-11-13,113065,11424,37,78,Paid,2014-10-01,11424,NULL
36,1,2013-07-30,82479,4284,37,79,Paid,2014-10-01,4284,NULL
36,2,NULL,,0,37,80,Pending,2014-10-01,9256.5,NULL
36,2,2013-08-12,82507,9333,37,81,Paid,2014-10-01,9333,NULL
37,2,NULL,,0,38,82,Pending,2014-10-01,NULL,NULL
