industryID,fualtype,purpose,fuelconsumption,fid
1,No,,NULL,1
2,Diesel,"For Genarater",NULL,2
4,"Hydrolic oil & Diesel","To genarate hydrolic presure",5000,3
5,Chocoal,"For Burner",250,4
6,Diesel,"For Genarator",NULL,5
7,Kerosin,"Vehicle washing",10,6
8,"Furnace Oil","To melt Zinc",125,7
9,Diesal,"For Genarator during the power failer",30,8
10,"Furnes Oil","For Aluminum Melt",30,9
14,"LP Gas","For Cooling and Laundry purpose",56,10
16,Diesal,"For Genarator during the power failer",NULL,11
17,Diesal,"For Vehicle Servising",5,12
19,Diesal,"For Genarator",15,13
20,Diesal,"For Genarator",NULL,14
20,"Furnanse Oil","For Boiler",NULL,15
20,"Kerosen Oil",Pollishing,NULL,16
22,Diesal,"For Genarator during the power failer",NULL,17
23,"Furnace Oil","For Burner",NULL,18
24,?????,"???????? ????",NULL,19
25,"Furnace Oil","For Boiler",50,20
25,gas,,60,21
29,Diesal,"For Genarator during the power failer",NULL,22
30,Diesal,"For Genarator during the power failer",NULL,23
36,"Kerosene  Oil","For Vehicle Servising",NULL,24
606,"ඇමෝනියා ගෑස්",,NULL,25
607,Diesal,,NULL,26
612,ඩීසල්,,NULL,27
667,වීසල්,"ජෙනරේටරය සදහා",10,28
680,"Cutting Oil","ත්‍රෝබ් ලේත් යන්ත්‍රය සදහා",NULL,29
746,ඩීසල්,"ජෙනරේටරය සදහා",28,30
865,ඩීසල්,"කම්ප්‍රෙෂර් යන්ත්‍රය සදහා",3,31
869,ඩීසල්,,10,32
870,Diesal,"For Compresure",30,33
868,Diesel,,20,34
898,"koreosin oil","For washing",0.5,35
902,Diesal,"For Generator",10,36
24440,"LP Gas",,12.5,37
24479,"koreosin oil","For washing",1,38
24498,Diesal,"For Compresure",10,39
24503,Diesal,"For Compresure",10,40
24531,Diesal,"For Compresure",8,41
24535,Diesal,"For Generator",40,42
24535,"koreosin oil","for boiler",150,43
24545,Diesal,"For Compresure",25,44
24551,Diesal,"For Compresure",25,45
24553,Diesal,,50,46
24565,Diesal,,10,47
17122,dissel,"production heat",3500,48
1430,"LP Gas","Food Preparation",20,49
3610,N/A,,NULL,50
1829,SBP,"To dissolve bonding gum compound to make tyre cement",20,51
2650,,,NULL,52
1830,Diesel,"To fire the thermic fluid boiler",70,53
1040,Diesel,"For generator",NULL,54
3282,No,,NULL,55
1830,No,,NULL,56
3282,,,NULL,57
15353,Diesel,"Fuel for generator",20,58
24608,Dessel,Fuel,250,59
24614,,"Only DG",38,60
24617,Dessel,"Machine Operate ",125,61
16443,Husk,"For boiler",150,62
16444,Husk,"For boilers",750,63
1842,Deisel,,NULL,64
16445,Husk,"Used for boilers",400,65
4223,L.P.Gas,"For Cookers",NULL,66
16447,Husk,"Used for boilers",200,67
16448,Husk,"Used for boiler",300,68
993,"Furnance oil 600 secs","For boiler",250,69
1855,Diesel,,NULL,70
1855,Gas,,NULL,71
4088,Diesel/Petrol,"For forklift",15,72
16451,HUSK,"FUEL FOR BOILER",750,73
16449,HUSK,BOILER,300,74
1006,Diesel,"Generator, boiler & cooking",NULL,75
17750,Deisel,,NULL,76
24679,Dessel,Macine,20,77
17745,Diesel,"for machines",20,78
17742,Diesel,Vehicles,20,79
17753,Diesel,,20,80
17740,Dessel,"Machine operete",200,81
17754,Diesel,"For Compresher",100,82
17830,Diesel,"For machines",20,83
17831,diesel,,NULL,84
17747,Diesel,"For vehicles",40,85
17312,Diesel,Equipments,200,86
17746,Dessel,Machine,20,87
17736,Diesel,"For genaretor",50,88
17319,Diesel,Machineries,400,89
17309,Dessel,Machine,300,90
17826,Diesel,"For Machines",50,91
17327,Diesel,"For Machine",30,92
17330,Dessel,"Machine operete",400,93
17371,Diesel,Machineries,75,94
17307,Diesel,,NULL,95
17741,Diesel,"For Machines",60,96
18712,Dessel,Machine,5,97
17253,Diesel,Machineries,NULL,98
17332,Diesel,"For machines",300,99
17257,Diesel,Machineries,NULL,100
17777,Diesel,"For machine",10,101
17118,Diesel,"For machinery use",NULL,102
17183,Diesel,"For machinary use",60,103
17120,Diesel,"For Machines",15,104
17254,Diesel,Machineries,100,105
17181,Diesel,"For vehicle",200,106
17155,"Paddy Husk","For Boiler",800,107
17374,Diesel,"For production",300,108
18731,Diesel,Machineries,NULL,109
18734,Dessel,"Machine operate",NULL,110
17049,Diesel,"To break granite and transport",NULL,111
17256,Diesel,,NULL,112
18730,Dessel,"operate genarater",100,113
17182,Dessel,"For Machine",70,114
17001,Diesel,,80,115
17119,Diesel,"For Machines",75,116
17123,Dessel,"For Machine",10,117
18716,Diesel,"For machines",30,118
17117,Diesel,"For Machines",20,119
17121,Diesel,"For Machines",50,120
17054,Diesel,"For Machnes",3,121
18330,Diesel,"Machineries and vehicles",1.6,122
18174,Dessel,Generetor,6.5,123
16450,Husk,"For boilers",300,124
1850,Electricity,"Recycling and manufacturing",200,125
17061,"Paddy Husk","To generate stream by boiler",NULL,126
1006,"Furnase oil","Generator, boiler & cooking",1700,127
1006,"LP Gas","Generator, boiler & cooking",350,128
18170,Diesel,"For transport",NULL,129
17470,Diesel,,NULL,130
18039,Diesel,"For current generation",60,131
18053,Diesel,"For break granite",50,132
10615,Deisel,"Crushing ",15,133
3305,No,,NULL,134
995,"Furnance oil","For boiler",1200,135
995,Diesel,Generators,50,136
995,"LP Gas","For cooking",180,137
18036,,,NULL,138
