userID,insgroupID,descr
1977,73,NULL
1977,74,NULL
1977,75,NULL
1977,76,NULL
1977,77,NULL
486,319,NULL
486,322,NULL
486,323,NULL
486,324,NULL
486,325,NULL
486,347,NULL
653,340,NULL
673,319,NULL
673,322,NULL
673,323,NULL
673,324,NULL
673,325,NULL
733,324,NULL
742,319,NULL
742,322,NULL
742,323,NULL
745,319,NULL
745,330,NULL
achalakohona,14,NULL
amparaepl,81,NULL
amparaepl,82,NULL
amparaepl,83,NULL
amparaepl,130,NULL
amparaepl,131,NULL
amparaepl,132,NULL
amparaepl,133,NULL
amparaepl,134,NULL
amparaepl,138,NULL
amparaepl,229,NULL
amparaepl,230,NULL
amparaepl,361,NULL
amparaepl,362,NULL
amparaepl,363,NULL
amparaepl,364,NULL
anton,76,NULL
anton,99,NULL
anton,114,NULL
anushanilanthi,15,NULL
anushanilanthi,16,NULL
apwasalage,51,NULL
apwasalage,52,NULL
apwasalage,55,NULL
apwasalage,56,NULL
apwasalage,57,NULL
apwasalage,58,NULL
apwasalage,59,NULL
archana,79,NULL
archana,80,NULL
balangoda,253,NULL
balangoda,254,NULL
bavatharine,87,NULL
bavatharine,104,NULL
bavatharine,113,NULL
bawatharini,87,NULL
bawatharini,104,NULL
bawatharini,113,NULL
chamila,118,NULL
cmlalith,218,NULL
cmnamalie,29,NULL
cmnamalie,34,NULL
cmnamalie,161,NULL
cmpriyanthi,29,NULL
cmswarna,30,NULL
cnthilakarathne,26,NULL
cnthilakarathne,27,NULL
cnthilakarathne,32,NULL
deoembilipitiya,251,NULL
deoembilipitiya,252,NULL
embilipitiya,251,NULL
embilipitiya,252,NULL
embilipitiya,253,NULL
embilipitiya,254,NULL
embilipitiya,255,NULL
embilipitiya,256,NULL
embilipitiya,270,NULL
indika,119,NULL
jameelal,131,NULL
kalutharaepl,11,NULL
klalihassan,81,NULL
klalihassan,82,NULL
klalihassan,83,NULL
klalihassan,130,NULL
klalihassan,131,NULL
klalihassan,132,NULL
klalihassan,133,NULL
klalihassan,134,NULL
klalihassan,138,NULL
krajan,134,NULL
lakshitha,121,NULL
ljayathilaka,21,NULL
ljayathilaka,23,NULL
ljayathilaka,24,NULL
mglfernando,13,NULL
mglfernando,14,NULL
mglfernando,15,NULL
mglfernando,16,NULL
muyees,86,NULL
muyees,87,NULL
muyees,88,NULL
muyees,89,NULL
muyees,90,NULL
nrdevanarayana,21,NULL
nrdevanarayana,22,NULL
nrdevanarayana,23,NULL
nrdevanarayana,24,NULL
nrdevanarayana,25,NULL
nusamarawickrama,17,NULL
onperera,13,NULL
pavakaran,114,NULL
pavakaran,115,NULL
pavakaran,116,NULL
pavakaran,117,NULL
plrenuka,41,NULL
plrenuka,42,NULL
plrenuka,43,NULL
plrenuka,45,NULL
plrenuka,46,NULL
plrenuka,47,NULL
plrenuka,48,NULL
plrenuka,49,NULL
plrenuka,50,NULL
pssenavirathna,26,NULL
pssenavirathna,27,NULL
pssenavirathna,32,NULL
rajes,73,NULL
rajes,74,NULL
rajes,75,NULL
rajes,76,NULL
rajes,77,NULL
rajes,88,NULL
rajes,152,NULL
rajes,153,NULL
rajesnavam,73,NULL
rajesnavam,74,NULL
rajesnavam,75,NULL
rajesnavam,76,NULL
rajesnavam,77,NULL
rajeswaran,73,NULL
rajeswaran,74,NULL
rajeswaran,75,NULL
rajeswaran,76,NULL
rajeswaran,77,NULL
rajini,95,NULL
rajini,99,NULL
rajini,100,NULL
rajini,101,NULL
rajini,102,NULL
rajini,103,NULL
ravishan,60,NULL
satheeskumar,106,NULL
satheeskumar,116,NULL
scadikaram,18,NULL
smdkasamaraweera,22,NULL
smdkasamaraweera,25,NULL
smmriyath,82,NULL
smmriyath,130,NULL
thadcha,77,NULL
thadcha,86,NULL
thadcha,95,NULL
thadcha,104,NULL
thadcha,111,NULL
thadcha,112,NULL
thadchagini,77,NULL
thadchagini,86,NULL
thadchagini,95,NULL
thadchagini,104,NULL
thadchagini,111,NULL
thadchagini,112,NULL
vthanu,82,NULL
vthanu,132,NULL
wdabesingha,23,NULL
wdwarnakulasooriya,17,NULL
wdwarnakulasooriya,18,NULL
wpanandalal,237,NULL
wpmaddumage,33,NULL
wpmaddumage,225,NULL
