industryID,inspectiondate,nameOfInspectionOfficer,inspectionStatus,fileID,infileID,applicationID,scheduledDate,reason
2,2014-07-03,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL",NULL,1,2,NULL,NULL
8,2012-03-23,"S.P.Guruge / L.G.S.Hemakanthi","EPL Issued",NULL,2,8,NULL,NULL
9,2014-09-11,"M.G.L.Fernando /M.I.Perera"," Renewal of EPL recommended after obtaining waste water analytical report.",NULL,3,9,NULL,NULL
10,2013-12-10,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,4,10,NULL,NULL
11,2013-09-23,"M.G.L.Fernando / D.Valantina","Recommended for EPL Renewal",NULL,5,11,NULL,NULL
12,2013-08-23,"M.G.L.Fernando /N.A.Jayawardana/ U.W.N.Chandralani","Better to obtain wasta water analytical report and  sludge disposal method.",NULL,6,12,NULL,NULL
13,2014-02-07,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,7,13,NULL,NULL
14,2013-11-01,"M.G.L.Fernando /U.S.G.Abewardana","Recommended for EPL Renewal",NULL,8,14,NULL,NULL
15,2013-10-08,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,9,15,NULL,NULL
16,2013-11-01,"M.G.L.Fernando /U.S.G.Abewardana","Recommended for EPL Renewal",NULL,10,16,NULL,NULL
17,2014-07-22,"M.G.L.Fernando /M.I.Perera","Recommended for EPL Renewal",NULL,11,17,NULL,NULL
18,2013-09-30,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,12,18,NULL,NULL
19,2014-04-28,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,13,19,NULL,NULL
20,2014-04-28,"M.G.L.Fernando /U.N.Chandralani","Renewal of EPL recommended ",NULL,14,20,NULL,NULL
21,2014-12-09,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,15,21,NULL,NULL
22,2014-03-17,"M.G.L.Fernando /U.N.Chandralani","Renewal of EPL recommended subject to the following condition.  waste water analytical report including PH,BOD,COD &TSS should be submitted within one month of the date of license.       ",NULL,16,22,NULL,NULL
23,2014-02-28,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,17,23,NULL,NULL
24,2013-11-12,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,18,24,NULL,NULL
25,2014-01-24,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL",NULL,19,25,NULL,NULL
26,2013-12-04,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,20,27,NULL,NULL
27,2014-04-11,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,21,28,NULL,NULL
28,2013-11-01,"M.G.L.Fernando /U.S.G.Abewardana","Recommended for EPL Renewal",NULL,22,29,NULL,NULL
29,2014-06-04,"M.G.L.Fernando /Nelum Samarawickrama.","Recommended for EPL Renewal",NULL,23,30,NULL,NULL
31,2012-06-06,"S.S.Ranasinha/ L.G.S. Hemakanthi"," EPL recommended after obtaining noise  report.",NULL,24,32,NULL,NULL
32,2014-06-04,"M.G.L.Fernando /Nelum Samarawickrama.","Renewal of EPL recommended subject to the condition/waste water genarating activities donot carryout/Dust control technics shuold be adopted. ",NULL,25,33,NULL,NULL
33,2013-11-12,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,26,34,NULL,NULL
34,2012-08-10,"N.A.Jayawardana/ U.W.N.Chandralani","Issuance of EPL should be considered after obtaining noise report.",NULL,27,35,NULL,NULL
35,2013-08-02,"N.A.Jayawardana/ U.W.N.Chandralani","Recommended for EPL Renewal",NULL,28,36,NULL,NULL
36,2014-12-08,"M.G.L.Fernando/ W.Warnakulasooriya","Recommended for EPL",NULL,29,37,NULL,NULL
37,2014-08-26,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,30,38,NULL,NULL
38,2014-05-07,"M.G.L.Fernando /W.Warnakulasooriya","Renewal of EPL recommended subject to the following condition. recomendation of ITI should be implimented within 03 months of the date of the license. ",NULL,31,39,NULL,NULL
40,2014-01-24,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,32,40,NULL,NULL
41,2013-10-08,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL ",NULL,33,41,NULL,NULL
42,2014-05-04,"M.G.L.Fernando /Nelum Samarawickrama.","Recommended for EPL Renewal",NULL,34,42,NULL,NULL
43,2013-11-21,"M.G.L.Fernando / D.Valantina","Recommended for EPL Renewal",NULL,35,43,NULL,NULL
44,2014-12-30,"M.G.L.Fernando /U.J.L.Rodrigo","Recommended for EPL Renewal",NULL,36,44,NULL,NULL
45,2013-08-05,"M.G.L.Fernando /L.G.S. Hemakanthi","Recommended for EPL Renewal",NULL,37,45,NULL,NULL
46,2013-09-13,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,38,46,NULL,NULL
47,2014-03-09,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,39,47,NULL,NULL
48,2012-05-16,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,40,48,NULL,NULL
49,2014-04-23,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,41,49,NULL,NULL
50,2014-06-06,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,42,50,NULL,NULL
