lacode,prcode,dicode,laname,lid
MAD,NC,AD,"Anuradapura M. C.",1
MBC,EA,BC,"Batticaloa M. C",2
MBD,UV,BD,"Badulla M. C.",3
MCM,WE,CM,"Colombo M. C.",4
MDM,WE,CM,"Dehiwela-Mt. Lavinia M. C.",5
MGL,SU,GL,"Galle M. C.",6
MGQ,WE,GQ,"Gampaha M. C.",7
MJA,NO,JA,"Jaffna M. C",8
MJK,WE,CM,"Sri Jayawardeanapura Kotte M. C.",9
MKG,NW,KG,"Kurunegala M. C.",10
MKY,CE,KY,"Kandy M. C.",11
MMR,SU,MR,"Matara M. C.",12
MMT,CE,MT,"Matale M. C.",13
MMW,WE,CM,"Moratuwa U. C.",14
MNE,WE,GQ,"Negambo M. C.",15
MNW,CE,NW,"Nuwara Eliya M. C.",16
MRN,SA,RN,"Ratnapura M. C.",17
PAA,NW,PX,"Arachchikattuwa P. S.",18
PAB,CE,MT,"Abanganga Korale P. S.",19
PAC,NW,KG,"Allauwa P. S.",20
PAD,SU,GL,"Ambalangoda P. S.",21
PAE,EA,AP,"Alayadwembu P. S",22
PAF,EA,AP,"Addalachchinai P. S",23
PAG,WE,KT,"Agalawatta P. S.",24
PAH,NC,PO,"Elahera P. S.",25
PAK,CE,KY,"Akurana P. S.",26
PAL,SU,HB,"Ambalantota  P. S.",27
UAB,SA,RN,"Embilipitiya U.C.",28
PAN,SU,GL,"Akmeemana P. S.",29
PAM,SA,RN,"Embilipitiya P. S.",30
PAR,SU,MR,"Akuressa P. S.",31
PAS,SU,HB,"Agunakolapalassa P. S.",32
PAT,WE,GQ,"Attanagalla P. S.",33
PAU,EA,BC,"Erauvrpattu P. S",34
UEV,EA,BC,"Erauvr U.C",35
PAW,CE,NW,"Abagamuwa P. S.",36
PAY,SA,RN,"Ayagama P. S.",37
PBA,NC,AD,"Kabithigollawa P. S.",38
PBB,WE,GQ,"Biyagama P. S.",39
PBC,UV,MG,"Bibile P. S.",40
UBE,WE,KT,"Beruwala U. C.",41
PBF,UV,MG,"Buttala P. S.",42
PBG,WE,KT,"Bandaragama P. S.",43
PBH,SU,HB,"Beliatta P. S.",44
PBI,NW,KG,"Bingiriya P. S.",45
PBK,UV,MG,"Badalkumbura P. S.",46
PBL,SA,RN,"Balangoda P. S.",47
PBM,SU,GL,"Baddegama P. S.",48
PBN,UV,BD,"Bandarawela P. S.",49
PBP,SU,GL,"Bope-Poddala P. S.",50
PBT,SU,GL,"Bentota P. S.",51
PBU,WE,KT,"Bulatsinghela P. S.",52
PBW,UV,BD,"Badulla P. S.",53
PBY,SU,GL,"Balapitiya P. S.",54
UPP,NO,JA,"Point Pedro U.C",55
UCK,NO,JA,"Chawakachcheri U.C",56
PDA,EA,AP,"Damana P. S",57
PDB,CE,MT,"Dambulla P. S.",58
PDF,SA,KE,"Dehiowita P. S.",59
PDG,UV,MG,"Medagama P. S.",60
PDH,EA,AP,"Dehiattakandiya P. S",61
PDI,WE,GQ,"Divulapitiya P.S.",62
PDK,SU,MR,"Dikwella P. S.",63
PDL,NC,PO,"Dimbulagala P. S.",64
PDM,WE,GQ,"Dompe P. S.",65
PDO,WE,KT,"Dodangoda P. S.",66
PDP,NW,KG,"Panduwasnuwara P. S.",67
PDR,NC,PO,"Medirigiriya P. S.",68
UVV,NO,JA,"Velvettithurai U.C",69
PDU,UV,MG,"Madulla P. S.",70
PDV,SU,MR,"Devinuwara P. S.",71
PDY,SA,KE,"Deraniyagala P. S.",72
PEB,NW,KG,"Ibbagamuwa P. S.",73
PEH,SA,RN,"Ehaliyagoda P. S.",74
PEP,NC,AD,"Epalogama P. S.",75
PGA,NW,KG,"Galgamuwa P. S.",76
PGB,NW,KG,"Giribawa P. S.",77
PGC,SA,KE,"Kegalle P. S.",78
PGE,NC,AD,"Galenbidunuwewa P. S.",79
PGH,NW,KG,"Polgahawela P. S.",80
PGI,UV,BD,"Meegahakiula P. S.",81
PGK,CE,KY,"Ganga Ihala Korale P. S.",82
PGL,CE,MT,"Galewela P. S.",83
PGM,SA,KE,"Galigamuwa P. S.",84
PGN,NC,AD,"Galnewa P. S.",85
PGQ,WE,GQ,"Gampaha P. S.",86
PGR,EA,TC,"Gomarankadawala P. S",87
PHA,CE,KY,"Harispattuwa P. S.",88
PHB,UV,BD,"Haldemulla P. S.",89
PHD,SU,GL,"Habaraduwa P. S.",90
PHE,UV,BD,"Hali-Ella P. S.",91
PHG,NC,AD,"Kahatagasdigiliya P. S.",92
PHI,NC,PO,"Hingurakgoda P. S.",93
PHK,CE,NW,"Hanguranketha P. S.",94
PHL,NW,PX,"Chilaw P. S.",95
PHM,SU,MR,"Hakmana P. S.",96
PHO,WE,CM,"Homagama P. S.",97
PHR,WE,KT,"Horana P.S.",98
PHT,SU,HB,"Hambantota P. S.",99
PHU,UV,BD,"Haputale P. S.",100
UHW,SU,GL,"Hikkaduwa U. C.",101
PHY,UV,BD,"Mahiyanganaya P. S.",102
PIM,SA,RN,"Ibulpe P. S.",103
PJE,WE,GQ,"Ja-ela P. S.",104
PKA,WE,KT,"Kalutara P. S.",105
PKB,SU,MR,"Kamburupitiya P. S.",106
PKC,EA,BC,"Koraleipattu West P. S",107
MKD,WE,CM,"Kaduwela M.C.",108
PKE,WE,GQ,"Kelaniya P. S.",109
PKG,EA,TC,"Kinniya P.S",111
PKH,CE,NW,"Kotmale P. S.",112
PKI,SU,GL,"Karandeniya P. S.",113
PKJ,EA,TC,"Kantale P. S",114
MKK,EA,AP,"Kalmunei M.C",115
PKL,SA,RN,"Kalawana P. S.",116
PKM,WE,CM,"Kotikawatta-Mullariyawa P. S.",117
PKN,CE,KY,"Kandy Gravets & Gangawata Korale P.S.",118
PKO,SA,RN,"Kolonna P. S.",119
PKP,SU,MR,"Kotapola P. S.",120
PKQ,EA,BC,"Korale Pattu P. S",121
PKR,SA,RN,"Kuruwita P. S.",122
UKB,WE,CM,"Kesbewa U.C.",123
PKT,WE,GQ,"Katana P. S.",124
PKU,CE,KY,"Kundasale P. S.",125
PKV,EA,BC,"Korale Pattu North P. S",126
UKW,EA,BC,"Kaththankudi U.C",127
PKX,EA,TC,"Kuchchiweli P. S",128
PCK,NO,JA,"Chawakachcheri P.S",129
PKZ,NW,KG,"Kobeiganay P. S.",130
PLA,CE,MT,"Laggala & Palegama P. S.",131
PLE,NC,PO,"Lankapura P. S.",132
PLH,EA,AP,"Luhugala P. S",133
PLI,SU,MR,"Malimbada P. S.",134
PLL,UV,BD,"Ella P. S.",135
PLP,SU,GL,"Elpitiya P. S.",136
PLT,NW,PX,"Kalpitiya P. S.",137
PLU,SU,HB,"Lunugamwehera P. S.",138
PLY,NW,KG,"Kuliyapitiya P. S.",139
PMB,EA,TC,"Morawewa P. S",140
PMC,EA,BC,"Manmunai West P. S",141
PMD,CE,KY,"Meda Dumbara P. S.",142
PME,WE,GQ,"Meerigama P. S.",143
PBJ,EA,BC,"Manmunaipattu P. S",144
PMG,WE,KT,"Matugama P. S.",145
PMH,WE,GQ,"Mahara P. S.",146
PMI,CE,KY,"Minipe P. S.",147
PTT,EA,TC,"Muttur P. S",148
PMK,NW,KG,"Mahawa P. S.",149
PML,SU,MR,"Mulatiyana P. S.",150
PMM,SU,MR,"Matara P. S.",151
PMN,WE,GQ,"Minuwangoda P. S.",152
PMO,EA,AP,"Maha Oya P. S",153
PDT,NO,JA,"Delft P.S",154
PMQ,EA,BC,"Manmunai South West P. S",155
PKY,NO,JA,"Kayts P.S",156
PNL,NO,JA,"Nallur P.S",157
PMT,CE,MT,"Matale P. S.",158
PMU,NC,AD,"Medawachchiya P. S.",159
PMV,EA,BC,"Manmunai South & Eruwilpattu  P. S",160
PPU,NO,JA,"Point Pedro P.S",161
PMX,NC,AD,"Mihintale P. S.",162
PWK,NO,JA,"Vadamarachchi South West P.S",163
PMZ,NW,KG,"Mawathagama P. S.",164
PNA,CE,NW,"Nuwara Eliya P. S.",165
PNB,NC,AD,"Nuwaragampalatha East P. S.",166
PNC,NC,AD,"Nochchiyagama P. S.",167
PND,NW,PX,"Anamaduwa P. S.",168
PNE,NW,KG,"Kurunegala P. S.",169
PNF,NW,KG,"Pannala P. S.",170
PNG,SU,GL,"Nagoda P. S.",171
PNH,NW,PX,"Nawagaththegama P. S.",172
