productID,industryID,procduct_byproducts_name,qty,productstatus
1,3,Colman Instant Orange Drink,,Product
2,4,Bottles/Cans/Containers,50-60 MT,Product
3,5,"Galvanized Buckets,",60000,Product
4,5,Sheet Hooks,40 MT,Product
5,5,Hingers,48000,Product
6,5,Plastic Buckets,18000,Product
7,1,Wooden Toys,,Product
8,6,Corrugated and profile Sheets,150 MT,Product
9,7,,,Product
10,7,,,Product
11,8,Galvanized Buckets,6000-7000,Product
12,9,Water Base Emulson Paints,,Product
13,9,Solvant Base Enamal Paints,,Product
14,10,Aluminum  Cooking Equipments,600,Product
15,11,Furniture,,Product
16,12,Water Base Emulson Paints,6600 kg,Product
17,12,Waterbase Putty,1050000 Kg,Product
18,12,Enamal Paint,40240 Kg,Product
19,12,Auto Paint,52000 Kg,Product
20,13,Prited Children wears ,,Product
21,14,Provide food Accomodation facilities and Entertainment for Local and foriegn Guest,,Product
22,15,washing Garments,4000 PCS,Product
23,16,Twill Tape,,Product
24,16,Elastics,,Product
25,16,Draw Codes,,Product
26,17,All kind of Vehicle Servicing,,Product
27,18, Wire Nail ,130 Bage(25Kg),Product
28,18,Wire Nail,80 Bage (15Kg),Product
29,18,Wire Nail,80 Bage (15Kg),Product
30,18,Roofing Hooks,3000 Kg P/D,Product
31,18,Roofing Hooks,80 Bage (15Kg) P/D,Product
32,18,Wire Nail ,80 Bage (15Kg),Product
33,19,Push Bycicles,10000 P/M,Product
34,20,Push Bycicles Rims & Frames,1000 P/D,Product
35,21,Polyurathene foam,30 Ton,Product
36,21,Adhesive,200 Kg P/d,Product
37,21,Artipicial  hard rubber,,By Product
38,23,Bleaching and Dying Towels,10  Tons p/m,Product
39,24," 1/2, 3/4, 1, 1 1/2, 2,3,4, P.V.c.Pipe",,Product
40,25,????,10000 ??.??????,Product
41,26,Service only,,Product
42,27,Boats,120 Nos P/Y,Product
43,27,Furniture,5000 Nos  P/Y,Product
44,27,Others,Nos 5000 P/Y,Product
45,27,Others,Nos 5000 P/Y,Product
46,27,Others, 5000 Nos  P/Y,Product
47,28,Corrugated Roofing Sheets,,Product
48,29,Plain and Printed Polythene bags and polythene roles,150 Tons,Product
49,30,Packing Trays for busicuits/ Chocolates,,Product
50,30,Clear acetate boxes and Cannisters,,Product
51,31,HDP- PP  Bottle ,500 Kg,Product
52,32,Poti Powder,1200 kg,Product
53,33,Paint packing Items,40 MT,Product
54,33,Home Items,10 MT,Product
55,33,Plastic Dust,3 MT,Product
56,34, Plastc Bottle/ Buckets,5000 P/W,Product
57,35,Enamal Paint,3000 L ,Product
58,35,Anticorosive, 2500 L,Product
59,35,Thinner,6000 L,Product
60,35,Sandin Sealer,2000 L,Product
61,35,Prench Polish, 1000 L,Product
62,35,Varnish, 1000 L,Product
63,35,Leak fix, 1000 L,Product
64,35,Chemimix Adhesive, 2000 L,Product
65,35,Metal Filler,500 L,Product
66,36,???? ???? ??????,,Product
67,37,මඩකවර,500,Product
68,37,බුෂ් වර්ග,750,Product
69,40,Corrugated Bord and Boxes,,Product
70,528,Rubber Slippers,,Product
71,528,Shoes,,Product
72,526,Rubber Sheet,1000 Kg,Product
73,599,අයිස් කැට,50000 Kg,Product
74,606,අයිස් කැට,,Product
75,612,කලුගල් ,210 cube,Product
76,671,Fabric,272045 Kg,Product
77,671,Knitting,188393,Product
78,671,Banian,806583 Doz,Product
79,671,Yarn,85421n Kg,Product
80,677,යෝගට්,1000,Product
81,677,අයිස්ක්‍රීම්,500,Product
82,680,තරාදි, 200 P/M,Product
83,746,ටී ෂර්ට්,,Product
84,753,පාපිසි,50,Product
85,771,මිරිස් කුඩු,500 Kg,Product
86,771,තුනපහ,250 Kg,Product
87,771,පිටි,500Kg,Product
88,771,කුරක්කන්,100 Kg,Product
89,774,චොකෝ බබල්,4000 Kg P/W,Product
90,784,ළමා ඇදුම්,,Product
91,797,ශල්‍ය ගෝස් රෙදි,25000 m  P/M,Product
92,799,වානේ අල්මාරි,10,Product
93,799,වානේ කාර්යාල අල්මාරි,5,Product
94,799,වානේ මේස,5,Product
95,799,වානේ ෆයිලින් කැබිනට්,5,Product
96,801,නිමි ඇදුම් ,1750,Product
97,803,විනාකිරි,5000 L ,Product
98,808,ගෝස් ,15000 m P/Quater,Product
99,813,ශල්‍ය ගෝස් රෙදි,30000m P/M,Product
100,833,බොයිලර් සතුන්,2000,Product
101,870,ගල් , 50 Cube P/M,Product
102,871,3/4 ගල්,,Product
103,871,චිප් ගල්,,Product
104,871,ගල්කුඩු,,Product
105,872,කාබනික පොහෛාර,,Product
106,903,Rubber Sheet,45Kg,Product
107,905,Bed Sheet,240,Product
108,907,Compost,1500Kg,Product
109,910,Metal,6 Cube,Product
110,24432,Metal,200 Cube P/M,Product
111,24433,6x9 metal,5 Cube P/d,Product
112,24434,"6x4,6x9 metal",07 cube p/d,Product
113,24446,Garments,175 p/d,Product
114,24455,Sprig Metros,60,Product
115,24455,Foam metros,20,Product
116,24455,Beds,10,Product
117,24457,Tea cleaning machine,,Product
118,24457,Huller machine,,Product
119,24466,Under wears,80000,Product
120,24467,Coir,500 Kg,Product
121,24469,Saron,60 M,Product
122,24471,Ladies Wear,,Product
