industruID,metirialID,metirialname,qty
1,1,"Treated Rubber wood/MDF/Non toxic paints/Sanding sealer",
3,2,"Suger/Vitamin A&C/Dextrose monohydrates/Orange flavour/Yellow colour powder/Citric Acid/Orange colour powder",
4,3,PP/PVC/HDPF/LDPF,
5,4,"Metal Sheet","1 MT"
5,5,Zink,"160 Kg"
5,6,Iron,"360 Kg"
6,7,"Plain Galvanized Sheets",
6,8,"Plain Color Coated Sheets",
7,9,Greese,
7,10,Lubricants,
8,11,C.R.Sheet,
8,12,"Fire Wood",
8,13,"Furnace Oil",
8,14,"Saw Dust",
9,15,"Additives ",
9,16,Pigments,
9,17,Solvants,
9,18,Resins,
9,19,"Extender ",
9,20,Binder,
9,21,Driers,
10,22,"waste Aluminum","100 Kg"
10,23,"Furnes Oil","20 Gallon"
11,24,"MDF Board",8
11,25,Paints,6L
12,26,"Calcium Carbonate",
12,27,Pigments,
12,28,Clay,
12,29,Binders,
12,30,Thicner,
12,31,Preservative,
12,32,Anti-Foam,
12,33,Ammonia,
12,34,Solvants,
12,35,"Alkyd Rasin",
12,36,Water,
12,37,Plasticizer,
12,38,Binders,
13,39,"Rubber white WT 200",25Kg
13,40,"Rubber Clear P.B.T.410","10 Kg"
14,41,"Various Food",
15,42,,
15,43,,
15,44,,
15,45,,
15,46,,
16,47,"Cotten & Polyester Threds",
18,48,G.I.Pipe,
18,49,"Steel Wire",
18,50,"Metal Sheet",
19,51,"Steel Pipes",
19,52,"Steel Sheets",
19,53,"Steel Strips",
19,54,Paints,
19,55,"Corecated paper",
19,56,"Polithin paper",
20,57,"Steel Strips CRC","800Kg P/D"
23,58,"100% Cotton Yarn",4
23,59,"Organic Dyes",
23,60,H2O2,
24,61,P.V.C.Resin,"01 Metric ton"
24,62,"calcium Carbonate"," 1/4 ton"
24,63,stabilizer,"40 Kg"
24,64,"Carbon Black"," 250 g"
25,65,????,"5000 ??.??????"
27,66,"Fiber glass Mat","40 Kg"
27,67,"Fiberglass Resin",110Kg
27,68,Wooden,"70 ft"
27,69,Steel,"10 Ft"
28,70,"G.I.  plane Sheets",
29,71,"HDPE/LDPE granuales","4000 Kg"
29,72,"Master Batch","70 Kg"
30,73,"pvc Sheet","100 Kg"
30,74,"HIPS Sheet","100 Kg"
31,75,HDP,"300 Kg"
31,76,PP,"200 Kg"
32,77,"Calcium Carbonate","1500 kg"
32,78,Cement,"20 Kg"
32,79,Glue,"20 Kg"
34,80,HDPE/PP,"150 kg"
36,81,"??? ?? ??????????",
37,82,"????? ????",
37,83,"????????? ???????",
37,84,"????????? ?????",
528,85,"Semi Finised Rubber Sheets &RubberStrap",
599,86,ජලය,"60000 L"
604,87,මාළු,"500 kg"
604,88,ලුනු,"150 kg"
606,89,වතුර,25000L
676,90,තීන්ත,"4 L"
676,91,"3x5 ;yvq",30
676,92,ජී.අයි.බෝල්ට්,500
677,93,කිරි,"1100 L"
677,94,"20 Kg",
681,95,ඇළුමිනියම්,"20 Kg"
681,96,යකඩ,30Kg
681,97,තඹ,30Kg
753,98,"කපු නූල්","10 Kg"
753,99,තුවා,"10 Kg"
774,100,"බඩ ඉරිගු","1000 Kg"
774,101,සහල්,"650 Kg"
774,102,සීනි,250Kg
784,103,"සින්ගල් ජර්සි රෙදි","7000 M"
797,104,"කපු නූල්","60 Kg"
799,105,"වානේ තහඩු",75
799,106,"තීන්ත ",20L
799,107,ලොක්,45
803,108,පොල්වතුර,"1000 L"
803,109,සීනි,"100 Kg"
808,110,"කපු නූල්","15000 Kg P/Quater"
813,111,"කපු නූල්","20 Kg"
